session_id,phase,iteration,elapsed_sec,x_px,y_px,dec_disp_px,ra_disp_px,image_width,image_height
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,19.435791,673.496,329.584,1.508,0.181,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,19.469616,673.441,329.617,1.570,0.162,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,19.502788,673.257,329.670,1.761,0.152,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,19.533996,673.231,329.763,1.807,0.067,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,19.569632,673.367,329.723,1.665,0.075,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,19.602637,673.280,329.632,1.730,0.183,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,19.637008,673.273,329.662,1.743,0.156,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,19.667912,673.269,329.836,1.787,-0.013,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,19.703742,673.152,329.959,1.928,-0.106,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,19.735709,673.249,329.761,1.789,0.065,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,19.766431,673.296,329.742,1.738,0.073,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,19.802497,673.138,329.864,1.920,-0.011,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,19.836711,673.359,329.670,1.661,0.129,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,19.869650,673.177,329.742,1.854,0.100,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,19.903862,673.113,329.643,1.894,0.210,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,19.934719,673.035,329.806,2.007,0.069,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,19.969979,673.069,329.592,1.926,0.270,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.002129,673.056,329.663,1.955,0.203,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.035754,673.170,329.745,1.862,0.098,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.069809,673.076,329.892,1.987,-0.023,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.102824,673.358,329.729,1.675,0.071,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.134631,672.979,329.874,2.077,0.015,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.168965,673.120,329.925,1.952,-0.066,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.203617,673.080,329.880,1.980,-0.013,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.234567,673.135,330.138,1.985,-0.277,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.269289,673.074,329.944,2.001,-0.074,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.302451,672.932,329.861,2.120,0.039,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.334279,673.110,329.912,1.959,-0.051,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.369313,673.239,329.682,1.781,0.144,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.402991,673.240,329.799,1.806,0.030,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.434694,673.098,329.798,1.945,0.063,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.469551,672.885,329.749,2.140,0.159,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.501691,673.014,329.918,2.054,-0.035,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,20.534346,672.938,329.726,2.084,0.169,1280,720
